PassengerID,Survived,Pclass,Sex,Age,sibsp,parch,Fare,Embarked
846,No,3,Male,42,0,0,7.55,S
747,No,3,Male,16,1,1,20.25,S
280,Yes,3,Female,35,1,1,20.25,S
309,No,2,Male,30,1,0,24,C
875,Yes,2,Female,28,1,0,24,C
366,No,3,Male,30,0,0,7.25,S
402,No,3,Male,26,0,0,8.05,S
41,No,3,Female,40,1,0,9.475,S
856,Yes,3,Female,18,0,1,9.35,S
208,Yes,3,Male,26,0,0,18.7875,C
811,No,3,Male,26,0,0,7.8875,S
841,No,3,Male,20,0,0,7.925,S
211,No,3,Male,24,0,0,7.05,S
785,No,3,Male,25,0,0,7.05,S
731,Yes,1,Female,29,0,0,211.3375,S
5,No,3,Male,35,0,0,8.05,S
306,Yes,1,Male,0.92,1,2,151.55,S
298,No,1,Female,2,1,2,151.55,S
499,No,1,Female,25,1,2,151.55,S
835,No,3,Male,18,0,0,8.3,S
193,Yes,3,Female,19,1,0,7.8542,S
461,Yes,1,Male,48,0,0,26.55,S
851,No,3,Male,4,4,2,31.275,S
814,No,3,Female,6,4,2,31.275,S
120,No,3,Female,2,4,2,31.275,S
69,Yes,3,Female,17,4,2,7.925,S
542,No,3,Female,9,4,2,31.275,S
543,No,3,Female,11,4,2,31.275,S
14,No,3,Male,39,1,5,31.275,S
147,Yes,3,Male,27,0,0,7.7958,S
611,No,3,Female,39,1,5,31.275,S
92,No,3,Male,20,0,0,7.8542,S
145,No,2,Male,18,0,0,11.5,S
276,Yes,1,Female,63,1,0,77.9583,S
807,No,1,Male,39,0,0,0,S
519,Yes,2,Female,36,1,0,26,S
572,Yes,1,Female,53,2,0,51.4792,S
354,No,3,Male,25,1,0,17.8,S
50,No,3,Female,18,1,0,17.8,S
494,No,1,Male,71,0,0,49.5042,C
364,No,3,Male,35,0,0,7.05,S
183,No,3,Male,9,4,2,31.3875,S
262,Yes,3,Male,3,4,2,31.3875,S
234,Yes,3,Female,5,4,2,31.3875,S
26,Yes,3,Female,38,1,5,31.3875,S
701,Yes,1,Female,18,1,0,227.525,C
115,No,3,Female,17,0,0,14.4583,C
245,No,3,Male,30,0,0,7.225,C
370,Yes,1,Female,24,0,0,69.3,C
834,No,3,Male,23,0,0,7.8542,S
781,Yes,3,Female,13,0,0,7.2292,C
207,No,3,Male,32,1,0,15.85,S
86,Yes,3,Female,33,3,0,15.85,S
645,Yes,3,Female,0.75,2,1,19.2583,C
470,Yes,3,Female,0.75,2,1,19.2583,C
449,Yes,3,Female,5,2,1,19.2583,C
859,Yes,3,Female,24,0,3,19.2583,C
662,No,3,Male,40,0,0,7.225,C
758,No,2,Male,18,0,0,11.5,S
871,No,3,Male,26,0,0,7.8958,S
328,Yes,2,Female,36,0,0,13,S
884,No,2,Male,28,0,0,10.5,S
763,Yes,3,Male,20,0,0,7.2292,C
703,No,3,Female,18,0,1,14.4542,C
363,No,3,Female,45,0,1,14.4542,C
291,Yes,1,Female,26,0,0,78.85,S
631,Yes,1,Male,80,0,0,30,S
113,No,3,Male,22,0,0,8.05,S
151,No,2,Male,51,0,0,12.525,S
169,No,1,Male,,0,0,25.925,S
119,No,1,Male,24,0,1,247.5208,C
300,Yes,1,Female,50,0,1,247.5208,C
219,Yes,1,Female,32,0,0,76.2917,C
544,Yes,2,Male,32,1,0,26,S
547,Yes,2,Female,19,1,0,26,S
373,No,3,Male,19,0,0,8.05,S
184,Yes,2,Male,1,2,1,39,S
619,Yes,2,Female,4,2,1,39,S
249,Yes,1,Male,37,1,1,52.5542,S
872,Yes,1,Female,47,1,1,52.5542,S
22,Yes,2,Male,34,0,0,13,S
890,Yes,1,Male,26,0,0,30,C
163,No,3,Male,26,0,0,7.775,S
226,No,3,Male,22,0,0,9.35,S
734,No,2,Male,23,0,0,13,S
379,No,3,Male,20,0,0,4.0125,C
381,Yes,1,Female,42,0,0,227.525,C
75,Yes,3,Male,32,0,0,56.4958,S
409,No,3,Male,21,0,0,7.775,S
485,Yes,1,Male,25,1,0,91.0792,C
292,Yes,1,Female,19,1,0,91.0792,C
270,Yes,1,Female,35,0,0,135.6333,S
431,Yes,1,Male,28,0,0,26.55,S
340,No,1,Male,45,0,0,35.5,S
210,Yes,1,Male,40,0,0,31,C
12,Yes,1,Female,58,0,0,26.55,S
629,No,3,Male,26,0,0,7.8958,S
853,No,3,Female,9,1,1,15.2458,C
599,No,3,Male,,0,0,7.225,C
141,No,3,Female,,0,2,15.2458,C
594,No,3,Female,,0,2,7.75,Q
189,No,3,Male,40,1,1,15.5,Q
658,No,3,Female,32,1,1,15.5,Q
625,No,3,Male,21,0,0,16.1,S
357,Yes,1,Female,22,0,1,55,S
222,No,2,Male,27,0,0,13,S
508,Yes,1,Male,,0,0,26.55,S
478,No,3,Male,29,1,0,7.0458,S
1,No,3,Male,22,1,0,7.25,S
767,No,1,Male,,0,0,39.6,C
615,No,3,Male,35,0,0,8.05,S
346,Yes,2,Female,24,0,0,13,S
685,No,2,Male,60,1,1,39,S
195,Yes,1,Female,44,0,0,27.7208,C
671,Yes,2,Female,40,1,1,39,S
729,No,2,Male,25,1,0,26,S
144,No,3,Male,19,0,0,6.75,Q
338,Yes,1,Female,41,0,0,134.5,C
388,Yes,2,Female,36,0,0,13,S
667,No,2,Male,25,0,0,13,S
537,No,1,Male,45,0,0,26.55,S
150,No,2,Male,42,0,0,13,S
866,Yes,2,Female,42,0,0,13,S
535,No,3,Female,30,0,0,8.6625,S
472,No,3,Male,38,0,0,8.6625,S
271,No,1,Male,,0,0,31,S
708,Yes,1,Male,42,0,0,26.2875,S
79,Yes,2,Male,0.83,0,2,29,S
324,Yes,2,Female,22,1,1,29,S
164,No,3,Male,17,0,0,8.6625,S
501,No,3,Male,17,0,0,8.6625,S
212,Yes,2,Female,35,0,0,21,S
467,No,2,Male,,0,0,0,S
502,No,3,Female,21,0,0,7.75,Q
38,No,3,Male,21,0,0,8.05,S
579,No,3,Female,,1,0,14.4583,C
192,No,2,Male,19,0,0,13,S
680,Yes,1,Male,36,0,1,512.3292,C
757,No,3,Male,28,0,0,7.7958,S
873,No,1,Male,33,0,0,5,S
209,Yes,3,Female,16,0,0,7.75,Q
84,No,1,Male,28,0,0,47.1,S
803,Yes,1,Male,11,1,2,120,S
436,Yes,1,Female,14,1,2,120,S
391,Yes,1,Male,36,1,2,120,S
855,No,2,Female,44,1,0,26,S
764,Yes,1,Female,36,1,2,120,S
250,No,2,Male,54,1,0,26,S
742,No,1,Male,36,1,0,78.85,S
90,No,3,Male,24,0,0,8.05,S
93,No,1,Male,46,1,0,61.175,S
725,Yes,1,Male,27,1,0,53.1,S
810,Yes,1,Female,33,1,0,53.1,S
696,No,2,Male,52,0,0,13.5,S
595,No,2,Male,37,1,0,26,S
422,No,3,Male,21,0,0,7.7333,Q
258,Yes,1,Female,30,0,0,86.5,S
167,Yes,1,Female,,0,1,55,S
839,Yes,3,Male,32,0,0,56.4958,S
91,No,3,Male,29,0,0,8.05,S
581,Yes,2,Female,25,1,1,30,S
74,No,3,Male,26,1,0,14.4542,C
427,Yes,2,Female,28,1,0,26,S
709,Yes,1,Female,22,0,0,151.55,S
476,No,1,Male,,0,0,52,S
132,No,3,Male,20,0,0,7.05,S
205,Yes,3,Male,18,0,0,8.05,S
664,No,3,Male,36,0,0,7.4958,S
515,No,3,Male,24,0,0,7.4958,S
243,No,2,Male,29,0,0,10.5,S
343,No,2,Male,28,0,0,13,S
663,No,1,Male,47,0,0,25.5875,S
238,Yes,2,Female,8,0,2,26.25,S
638,No,2,Male,31,1,1,26.25,S
802,Yes,2,Female,31,1,1,26.25,S
836,Yes,1,Female,39,1,1,83.1583,C
750,No,3,Male,31,0,0,7.75,Q
290,Yes,3,Female,22,0,0,7.75,Q
117,No,3,Male,70.5,0,0,7.75,Q
669,No,3,Male,43,0,0,8.05,S
647,No,3,Male,19,0,0,7.8958,S
158,No,3,Male,30,0,0,8.05,S
490,Yes,3,Male,9,1,1,15.9,S
349,Yes,3,Male,3,1,1,15.9,S
95,No,3,Male,59,0,0,7.25,S
68,No,3,Male,19,0,0,8.1583,S
161,No,3,Male,44,0,1,16.1,S
746,No,1,Male,70,1,1,71,S
541,Yes,1,Female,36,0,2,71,S
845,No,3,Male,17,0,0,8.6625,S
2,Yes,1,Female,38,1,0,71.2833,C
414,No,2,Male,,0,0,0,S
339,Yes,3,Male,45,0,0,8.05,S
883,No,3,Female,22,0,0,10.5167,S
688,No,3,Male,19,0,0,10.1708,S
511,Yes,3,Male,29,0,0,7.75,Q
858,Yes,1,Male,51,0,0,26.55,S
617,No,3,Male,34,1,1,14.4,S
424,No,3,Female,28,1,1,14.4,S
608,Yes,1,Male,27,0,0,30.5,S
322,No,3,Male,27,0,0,7.8958,S
795,No,3,Male,25,0,0,7.8958,S
672,No,1,Male,31,1,0,52,S
550,Yes,2,Male,8,1,1,36.75,S
566,No,3,Male,24,2,0,24.15,S
386,No,2,Male,18,0,0,73.5,S
636,Yes,2,Female,28,0,0,13,S
348,Yes,3,Female,,1,0,16.1,S
560,Yes,3,Female,36,1,0,17.4,S
287,Yes,3,Male,30,0,0,9.5,S
283,No,3,Male,16,0,0,9.5,S
789,Yes,3,Male,1,1,2,20.575,S
94,No,3,Male,26,1,2,20.575,S
362,No,2,Male,29,1,0,27.7208,C
336,No,3,Male,,0,0,7.8958,S
321,No,3,Male,22,0,0,7.25,S
45,Yes,3,Female,19,0,0,7.8792,Q
691,Yes,1,Male,31,1,0,57,S
782,Yes,1,Female,17,1,0,57,S
350,No,3,Male,42,0,0,8.6625,S
446,Yes,1,Male,4,0,2,81.8583,S
569,No,3,Male,,0,0,7.2292,C
652,Yes,2,Female,18,0,1,23,S
99,Yes,2,Female,34,0,1,23,S
891,No,3,Male,32,0,0,7.75,Q
284,Yes,3,Male,19,0,0,8.05,S
545,No,1,Male,50,1,0,106.425,C
80,Yes,3,Female,30,0,0,12.475,S
583,No,2,Male,54,0,0,26,S
131,No,3,Male,33,0,0,7.8958,C
417,Yes,2,Female,34,1,1,32.5,S
281,No,3,Male,65,0,0,7.75,Q
557,Yes,1,Female,48,1,0,39.6,C
600,Yes,1,Male,49,1,0,56.9292,C
867,Yes,2,Female,27,1,0,13.8583,C
676,No,3,Male,18,0,0,7.775,S
659,No,2,Male,23,0,0,13,S
765,No,3,Male,16,0,0,7.775,S
130,No,3,Male,45,0,0,6.975,S
774,No,3,Male,,0,0,7.225,C
533,No,3,Male,17,1,1,7.2292,C
353,No,3,Male,15,1,1,7.2292,C
593,No,3,Male,47,0,0,7.25,S
778,Yes,3,Female,5,0,0,12.475,S
27,No,3,Male,,0,0,7.225,C
717,Yes,1,Female,38,0,0,227.525,C
497,Yes,1,Female,54,1,0,78.2667,C
229,No,2,Male,18,0,0,13,S
526,No,3,Male,40.5,0,0,7.75,Q
528,No,1,Male,,0,0,221.7792,S
54,Yes,2,Female,29,1,0,26,S
689,No,3,Male,18,0,0,7.7958,S
307,Yes,1,Female,,0,0,110.8833,C
429,No,3,Male,,0,0,7.75,Q
826,No,3,Male,,0,0,6.95,Q
573,Yes,1,Male,36,0,0,26.3875,S
644,Yes,3,Male,,0,0,56.4958,S
437,No,3,Female,21,2,2,34.375,S
148,No,3,Female,9,2,2,34.375,S
87,No,3,Male,16,1,3,34.375,S
737,No,3,Female,48,1,3,34.375,S
453,No,1,Male,30,0,0,27.75,C
342,Yes,1,Female,24,3,2,263,S
89,Yes,1,Female,23,3,2,263,S
28,No,1,Male,19,3,2,263,S
439,No,1,Male,64,1,4,263,S
345,No,2,Male,36,0,0,13,S
310,Yes,1,Female,30,0,0,56.9292,C
661,Yes,1,Male,50,2,0,133.65,S
335,Yes,1,Female,,1,0,133.65,S
540,Yes,1,Female,22,0,2,49.5,C
588,Yes,1,Male,60,1,1,79.2,C
482,No,2,Male,,0,0,0,S
816,No,1,Male,,0,0,0,S
358,No,2,Female,38,0,0,13,S
138,No,1,Male,37,1,0,53.1,S
4,Yes,1,Female,35,1,0,53.1,S
21,No,2,Male,35,0,0,26,S
406,No,2,Male,34,1,0,21,S
704,No,3,Male,25,0,0,7.7417,Q
761,No,3,Male,,0,0,14.5,S
577,Yes,2,Female,34,0,0,13,S
792,No,2,Male,16,0,0,26,S
620,No,2,Male,26,0,0,10.5,S
463,No,1,Male,47,0,0,38.5,S
421,No,3,Male,,0,0,7.8958,C
140,No,1,Male,24,0,0,79.2,C
862,No,2,Male,21,1,0,11.5,S
589,No,3,Male,22,0,0,8.05,S
865,No,2,Male,24,0,0,13,S
723,No,2,Male,34,0,0,13,S
157,Yes,3,Female,16,0,0,7.7333,Q
214,No,2,Male,30,0,0,13,S
33,Yes,3,Female,,0,0,7.75,Q
454,Yes,1,Male,49,1,0,89.1042,C
850,Yes,1,Female,,1,0,89.1042,C
97,No,1,Male,71,0,0,34.6542,C
166,Yes,3,Male,9,0,2,20.525,S
549,No,3,Male,33,1,1,20.525,S
329,Yes,3,Female,31,1,1,20.525,S
466,No,3,Male,38,0,0,7.05,S
481,No,3,Male,9,5,2,46.9,S
387,No,3,Male,1,5,2,46.9,S
60,No,3,Male,11,5,2,46.9,S
72,No,3,Female,16,5,2,46.9,S
684,No,3,Male,14,5,2,46.9,S
679,No,3,Female,43,1,6,46.9,S
888,Yes,1,Female,19,0,0,30,S
333,No,1,Male,38,0,1,153.4625,S
269,Yes,1,Female,58,0,1,153.4625,S
223,No,3,Male,51,0,0,8.05,S
715,No,2,Male,52,0,0,13,S
98,Yes,1,Male,23,0,1,63.3583,C
770,No,3,Male,32,0,0,8.3625,S
790,No,1,Male,46,0,0,79.2,C
877,No,3,Male,20,0,0,9.8458,S
105,No,3,Male,37,2,0,7.925,S
393,No,3,Male,28,2,0,7.925,S
380,No,3,Male,19,0,0,7.775,S
294,No,3,Female,24,0,0,8.85,S
452,No,3,Male,,1,0,19.9667,S
491,No,3,Male,,1,0,19.9667,S
404,No,3,Male,28,1,0,15.85,S
143,Yes,3,Female,24,1,0,15.85,S
179,No,2,Male,30,0,0,13,S
756,Yes,2,Male,0.67,1,1,14.5,S
248,Yes,2,Female,24,0,2,14.5,S
442,No,3,Male,20,0,0,9.5,S
297,No,3,Male,23.5,0,0,7.2292,C
861,No,3,Male,41,2,0,14.1083,S
705,No,3,Male,26,1,0,7.8542,S
624,No,3,Male,21,0,0,7.8542,S
371,Yes,1,Male,25,1,0,55.4417,C
236,No,3,Female,,0,0,7.55,S
786,No,3,Male,25,0,0,7.25,S
721,Yes,2,Female,6,0,1,33,S
646,Yes,1,Male,48,1,0,76.7292,C
53,Yes,1,Female,49,1,0,76.7292,C
849,No,2,Male,28,0,1,33,S
603,No,1,Male,,0,0,42.4,S
571,Yes,2,Male,62,0,0,10.5,S
63,No,1,Male,45,1,0,83.475,S
220,No,2,Male,30,0,0,10.5,S
231,Yes,1,Female,35,1,0,83.475,S
264,No,1,Male,40,0,0,0,S
536,Yes,2,Female,7,0,2,26.25,S
315,No,2,Male,43,1,1,26.25,S
412,No,3,Male,,0,0,6.8583,Q
441,Yes,2,Female,45,1,1,26.25,S
682,Yes,1,Male,27,0,0,76.7292,C
732,No,3,Male,11,0,0,18.7875,C
741,Yes,1,Male,,0,0,30,S
311,Yes,1,Female,24,0,0,83.1583,C
821,Yes,1,Female,52,1,1,93.5,S
275,Yes,3,Female,,0,0,7.75,Q
805,Yes,3,Male,27,0,0,6.975,S
655,No,3,Female,18,0,0,6.75,Q
3,Yes,3,Female,26,0,0,7.925,S
817,No,3,Female,23,0,0,7.925,S
314,No,3,Male,28,0,0,7.8958,S
265,No,3,Female,,0,0,7.75,Q
616,Yes,2,Female,24,1,2,65,S
755,Yes,2,Female,48,1,2,65,S
16,Yes,2,Female,55,0,0,16,S
656,No,2,Male,24,2,0,73.5,S
666,No,2,Male,32,2,0,73.5,S
121,No,2,Male,21,2,0,73.5,S
330,Yes,1,Female,16,0,1,57.9792,C
524,Yes,1,Female,44,0,1,57.9792,C
480,Yes,3,Female,2,0,1,12.2875,S
530,No,2,Male,23,2,1,11.5,S
775,Yes,2,Female,54,1,3,23,S
724,No,2,Male,50,0,0,13,S
766,Yes,1,Female,51,1,0,77.9583,S
237,No,2,Male,44,1,0,26,S
819,No,3,Male,43,0,0,6.45,S
36,No,1,Male,42,1,0,52,S
384,Yes,1,Female,35,1,0,52,S
605,Yes,1,Male,35,0,0,26.55,C
217,Yes,3,Female,27,0,0,7.925,S
73,No,2,Male,21,0,0,73.5,S
614,No,3,Male,,0,0,7.75,Q
289,Yes,2,Male,42,0,0,13,S
225,Yes,1,Male,38,1,0,90,S
794,No,1,Male,,0,0,30.6958,C
487,Yes,1,Female,35,1,0,90,S
700,No,3,Male,42,0,0,7.65,S
240,No,2,Male,33,0,0,12.275,S
799,No,3,Male,30,0,0,7.2292,C
62,Yes,1,Female,38,0,0,80,
85,Yes,2,Female,17,0,0,10.5,S
730,No,3,Female,25,1,0,7.925,S
178,No,1,Female,50,0,0,28.7125,C
739,No,3,Male,,0,0,7.8958,S
218,No,2,Male,42,1,0,27,S
601,Yes,2,Female,24,2,1,27,S
456,Yes,3,Male,29,0,0,7.8958,C
392,Yes,3,Male,21,0,0,7.7958,S
612,No,3,Male,,0,0,7.05,S
587,No,2,Male,47,0,0,15,S
71,No,2,Male,32,0,0,10.5,S
641,No,3,Male,20,0,0,7.8542,S
772,No,3,Male,48,0,0,7.8542,S
722,No,3,Male,17,1,0,7.0542,S
369,Yes,3,Female,,0,0,7.75,Q
474,Yes,2,Female,23,0,0,13.7917,C
445,Yes,3,Male,,0,0,8.1125,S
203,No,3,Male,34,0,0,6.4958,S
396,No,3,Male,22,0,0,7.7958,S
104,No,3,Male,33,0,0,8.6542,S
806,No,3,Male,31,0,0,7.775,S
870,Yes,3,Male,4,1,1,11.1333,S
173,Yes,3,Female,1,1,1,11.1333,S
598,No,3,Male,49,0,0,0,S
720,No,3,Male,33,0,0,7.775,S
303,No,3,Male,19,0,0,0,S
9,Yes,3,Female,27,0,2,11.1333,S
889,No,3,Female,,1,2,23.45,S
784,No,3,Male,,1,2,23.45,S
754,No,3,Male,23,0,0,7.8958,S
570,Yes,3,Male,32,0,0,7.8542,S
114,No,3,Female,20,1,0,9.825,S
403,No,3,Female,21,1,0,9.825,S
580,Yes,3,Male,32,0,0,7.925,S
434,No,3,Male,17,0,0,7.125,S
653,No,3,Male,21,0,0,8.4333,S
100,No,2,Male,34,1,0,26,S
317,Yes,2,Female,24,1,0,26,S
607,No,3,Male,30,0,0,7.8958,S
479,No,3,Male,22,0,0,7.5208,S
692,Yes,3,Female,4,0,1,13.4167,C
525,No,3,Male,,0,0,7.2292,C
304,Yes,2,Female,,0,0,12.35,Q
791,No,3,Male,,0,0,7.75,Q
471,No,3,Male,,0,0,7.25,S
301,Yes,3,Female,,0,0,7.75,Q
574,Yes,3,Female,,0,0,7.75,Q
697,No,3,Male,44,0,0,8.05,S
707,Yes,2,Female,45,0,0,13.5,S
488,No,1,Male,58,0,0,29.7,C
458,Yes,1,Female,,1,0,51.8625,S
215,No,3,Male,,1,0,7.75,Q
779,No,3,Male,,0,0,7.7375,Q
